id_constellation,center_ra,center_dec,constellation_code
1,0.568780,38.906070,AND
2,10.048120,-33.230890,ANT
3,15.943110,-74.886210,APS
4,22.297530,-10.788420,AQR
5,19.542360,1.814060,AQL
6,17.159150,-53.946650,ARA
7,2.545180,19.418510,ARI
8,5.796010,40.597250,AUR
9,14.537270,29.651030,BOO
10,4.672540,-38.245760,CAE
11,6.192270,68.490710,CAM
12,8.563850,19.630800,CNC
13,13.052110,40.709320,CVN
14,6.741670,-21.714880,CMA
15,7.518110,6.176380,CMI
16,20.904570,-19.038020,CAP
17,8.907710,-60.873840,CAR
18,1.037730,60.915860,CAS
19,12.951950,-44.344400,CEN
20,22.900760,70.154630,CEP
21,1.516000,-9.365940,CET
22,10.666670,-78.338580,CHA
23,14.605650,-62.546150,CIR
24,5.719750,-35.485730,COL
25,12.649760,22.907700,COM
26,18.500000,-41.157810,CRA
27,15.805280,32.465100,CRB
28,12.315760,-17.403540,CRV
29,11.302970,-14.964460,CRT
30,12.333330,-59.299920,CRU
31,20.536360,42.102060,CYG
32,20.581080,11.713190,DEL
33,5.094570,-61.138560,DOR
34,16.641650,64.425590,DRA
35,21.099040,6.954330,EQU
36,3.650420,-21.162440,ERI
37,2.677810,-31.742040,FOR
38,7.029900,23.449580,GEM
39,22.409230,-45.574660,GRU
40,17.205250,28.254800,HER
41,3.172080,-53.440100,HOR
42,10.466330,-16.493170,HYA
43,2.340290,-71.553630,HYI
44,21.458390,-58.678010,IND
45,22.408770,44.400900,LAC
46,10.582200,15.432460,LEO
47,10.228940,33.948210,LMI
48,5.483820,-19.083430,LEP
49,15.108630,-14.688630,LIB
50,15.143640,-41.737360,LUP
51,7.865080,46.570830,LYN
52,18.770170,36.378760,LYR
53,5.583330,-77.179900,MEN
54,20.833330,-36.416870,MIC
55,6.914360,-2.492760,MON
56,12.449580,-69.064270,MUS
57,15.915220,-51.179670,NOR
58,19.698580,-82.965730,OCT
59,17.191420,-5.080740,OPH
60,5.484050,5.054420,ORI
61,19.408210,-65.051690,PAV
62,22.600300,18.464080,PEG
63,3.356970,43.450360,PER
64,0.668230,-47.870620,PHE
65,5.571160,-52.312970,PIC
66,0.540210,10.082670,PSC
67,22.166670,-31.133200,PSA
68,7.539840,-32.681750,PUP
69,8.823630,-27.912700,PYX
70,3.860540,-61.075350,RET
71,19.617470,18.335010,SGE
72,19.055360,-27.293000,SGR
73,16.656450,-31.589320,SCO
74,0.362180,-32.406320,SCL
75,18.558330,-9.963040,SCT
76,15.594020,10.281480,SER1
77,18.047530,-6.337700,SER2
78,10.166670,-1.983520,SEX
79,4.302740,16.550040,TAU
80,19.166670,-51.010180,TEL
81,2.017800,31.462290,TRI
82,15.868750,-65.288250,TRA
83,23.786120,-64.612130,TUC
84,10.858720,53.197490,UMA
85,15.294580,76.560850,UMI
86,9.546380,-46.847970,VEL
87,13.182560,-1.978700,VIR
88,7.808330,-69.029010,VOL
89,20.196910,24.138350,VUL